dia_li,gdcd,hoa_hoc,lich_su,ngoai_ngu,sbd,sinh_hoc,toan,van,vat_li
6.50,8.50,,3.75,N1:3.80,33000371,,7.80,7.50,
8.25,8.25,,5.25,N1:3.40,33000372,,2.60,4.25,
6.75,8.75,,5.25,N1:6.80,33000373,,7.40,4.50,
5,6.25,,4.75,N1:2.40,33000374,,2.40,6.25,
5,7.75,,5,N1:3,33000375,,5.60,5.50,
,,3,,N1:6.40,33000376,5.50,8.60,5.50,7.50
6.75,7.25,,5,N1:2,33000377,,5,6.25,
5.50,8.50,,4.25,N1:5.60,33000378,,5.80,6,
6.75,8,,4.50,N1:7.20,33000379,,8.80,8.50,
7,8,,3.75,N1:5.20,33000380,,8.20,8.50,
5.50,6.75,,2.75,N1:3.40,33000381,,6.20,6.75,
,,4.50,,N1:6.60,33000382,5.75,9.40,7,7.50
8.25,8.75,,5.50,N1:4.40,33000383,,6.40,8.50,
6.25,7.75,,6,N1:4.40,33000384,,4.60,5,
6.50,7.75,,4.25,N1:2.60,33000385,,8,6,
6.50,7.50,,4.25,N1:5.80,33000386,,6.80,7.75,
8.25,9.25,,8,N1:4,33000387,,8,7.50,
7.25,8.25,,5.75,N1:6.20,33000388,,6.60,6.50,
7,8.50,,3.75,N1:2.80,33000389,,4,5.75,
7.75,8.75,,3.25,N1:4.60,33000390,,6.80,4.75,
7.25,7.25,,3,N1:1.40,33000391,,7,5.75,
6.25,6.25,,3,N1:3,33000392,,5.40,5,
,,9,,N1:3.80,33000393,4.25,8.80,6,8.50
6.50,8,,5,N1:3,33000394,,7.20,5,
,,8.25,,N1:3.80,33000395,5.25,8.80,7.50,9
6,5,,4.75,N1:1.60,33000396,,6.80,5.50,
,,5,,N1:4.20,33000397,4.50,7.40,6.50,6.75
7.50,7.25,,5.25,N1:8.40,33000398,,8.40,8.75,
5.25,6.75,,4.50,N1:4.60,33000399,,7.60,6.25,
7.75,8.50,,4.75,N1:4.20,33000400,,7.40,5.75,
6.50,8.50,,3.75,N1:3.40,33000401,,7.80,5.25,
7,8,,3.25,N1:3.40,33000402,,6.80,5.50,
